point_id,lat,lng,distance_km
1,49.956467399,-6.35238910875,315.120706832
2,49.9590594116,-6.28288321479,310.828915751
3,50.0702696924,-5.66372859675,267.535553539
4,50.1151458203,-5.66715668855,264.753854953
5,50.1600214269,-5.67059344338,262.038041166
6,50.0724524267,-5.59400037924,263.417591288
7,50.1173320089,-5.59736357873,260.591939064
8,50.1622110762,-5.60073527825,257.832290472
9,50.1643587744,-5.53086858515,253.655366595
10,50.2092407275,-5.5341835657,250.919063261
11,50.1215787183,-5.45775202223,252.359403806
12,50.1664645091,-5.46099352774,249.508717272
13,50.1236392151,-5.38793390195,248.291811548
14,50.1685282686,-5.39111026983,245.39387724
15,50.2134168253,-5.39429467432,242.564396176
16,50.0807650506,-5.31500441429,247.271202061
17,50.125657791,-5.31810777145,244.258835406
18,50.170550041,-5.32121897533,241.312473733
19,50.2154418003,-5.32433805179,238.434563947
20,49.9929453874,-5.23918175011,249.635613947
21,50.0378422205,-5.24220479027,246.449327563
22,50.0827385697,-5.24523546329,243.324068602
23,50.1276344347,-5.24827379423,240.262218558
24,50.1725298151,-5.25131980828,237.266232261
25,50.2174247106,-5.25437353076,234.338635903
26,50.2623191208,-5.25743498706,231.482024317
27,50.0397708092,-5.17249306955,242.591891967
28,50.0846702113,-5.17545885437,239.416284646
29,50.1295691348,-5.17843213392,236.303805849
30,50.1744675795,-5.18141293284,233.256982669
31,50.2193655449,-5.18440127591,230.278421197
32,50.2642630308,-5.18739718801,227.370804138
33,50.3091600367,-5.19040069412,224.536887569
34,51.8802501545,-5.30051055111,192.596494154
35,50.0416575756,-5.10277387867,238.776843602
36,50.0865599646,-5.10567475075,235.54980863
37,50.1314618805,-5.10858295425,232.385549574
38,50.1763633232,-5.11149851327,229.286665456
39,50.2212642922,-5.11442145206,226.255842491
40,50.2661647873,-5.11735179496,223.295852103
41,50.3110648081,-5.1202895664,220.40954805
42,50.3559643543,-5.12323479097,217.599862539
43,50.4008634256,-5.12618749332,214.869801233
44,51.8822641488,-5.22799008142,187.768380066
45,51.9271468707,-5.23121255248,189.14622877
46,50.2231209418,-5.04443422413,222.272943143
47,50.2680243796,-5.04729897337,219.259190363
48,50.3129273487,-5.0501709856,216.319032598
49,50.3578298486,-5.05305028482,213.455510983
50,50.4027318792,-5.05593689517,210.671750537
51,51.7495729733,-5.14605921131,179.478482358
52,51.8842334999,-5.15546122368,182.949499986
53,51.9291193816,-5.15861159274,184.363366345
54,50.2249354831,-4.97443975715,218.331894706
55,50.2698417971,-4.97723888883,215.262973014
56,50.3147476477,-4.98004511781,212.267470085
57,50.3596530347,-4.98285846756,209.348537519
58,50.4045579577,-4.98567896167,206.509422222
59,50.4494624164,-4.98850662382,203.75346076
60,50.4943664106,-4.99134147781,201.084072161
61,50.53926994,-4.99418354755,198.504749016
62,51.6617062361,-5.06765263629,172.87977907
63,51.7514884404,-5.07373742444,174.573997553
64,51.7963788327,-5.07679170277,175.628619328
65,51.8412687513,-5.07985394037,176.818390537
66,51.8861581959,-5.0829241647,178.140603281
67,51.9310471661,-5.08600240337,179.59233236
68,50.2267079058,-4.90443821626,214.435004694
69,50.2716170295,-4.90717170701,211.309494683
70,50.316525695,-4.90991212927,208.257133968
71,50.3614339021,-4.91265950597,205.281185581
72,50.4063416506,-4.91541386015,202.385020342
73,50.4512489401,-4.91817521494,199.572111689
74,50.4961557704,-4.92094359359,196.846028838
75,50.5410621413,-4.92371901944,194.210428078
76,50.5859680523,-4.92650151597,191.669042048
77,51.6186764762,-4.99250604157,167.277140394
78,51.6635712692,-4.99546556041,167.931453289
79,51.7084655953,-4.99843277296,168.731456192
80,51.7533594543,-5.00140770568,169.675088372
81,51.7982528458,-5.00439038516,170.759968726
82,51.8431457695,-5.00738083812,171.983424272
83,51.8880382251,-5.01037909139,173.342520835
84,51.9329302124,-5.01338517194,174.834095172
85,51.977821731,-5.01639910686,176.454787807
86,50.2733500666,-4.83709759369,207.401199456
87,50.3182614803,-4.83977218631,204.290452153
88,50.3631724408,-4.84245356693,201.25585742
89,50.4080829478,-4.84514175804,198.300911372
90,50.452993001,-4.84783678222,195.429226976
91,50.4979026002,-4.85053866218,192.644527723
92,50.5428117452,-4.85324742069,189.95063929
93,50.5877204357,-4.85596308068,187.351478969
94,51.6204942757,-4.92038234362,162.312034954
95,51.6653919796,-4.92327079084,162.986281619
96,51.7102892223,-4.92616674775,163.810437095
97,51.7551860037,-4.92907024018,164.782252097
